mRNA,RF_Classifier_prob
A839,0.7984737873077392
A840,0.799797248840332
A841,0.7743624925613404
A842,0.7992422342300415
A843,0.7987777471542359
A844,0.7995702028274536
A845,0.5402457639575005
A846,0.6540955483913422
A847,0.7996153354644775
A848,0.7995431542396545
A849,0.7993002295494079
A850,0.7994910836219787
A851,0.7994058966636658
A852,0.7961551070213317
A853,0.6421514719724655
A854,0.7780224561691285
A855,0.7990639686584473
A856,0.7876121044158936
A857,0.6179827734827995
A858,0.7871238946914673
A859,0.6414715409278869
A860,0.7087121605873108
A861,0.7890393733978271
A862,0.6155247271060944
A863,0.7733842968940735
A864,0.7950152039527894
A865,0.79971923828125
A866,0.7998188972473145
A867,0.7999164581298828
A868,0.799258029460907
A869,0.7702008366584778
A870,0.7753602266311646
A871,0.7973164319992065
A872,0.5996490120887756
A873,0.794481348991394
A874,0.7996150374412536
A875,0.792466402053833
A876,0.7975404381752014
A877,0.7974594950675964
A878,0.798702347278595
A879,0.7974811792373657
A880,0.7997796416282654
A881,0.7999101996421814
A882,0.7891809463500976
A883,0.7936128616333008
A884,0.7621492266654968
A885,0.7404078364372253
A886,0.7150723576545716
A887,0.796391761302948
A888,0.7963094472885132
A889,0.7987713694572449
A890,0.7818934082984924
A891,0.7996875047683716
A892,0.7851182818412781
A893,0.7995648145675659
A894,0.6027969963848591
A895,0.7998025774955749
A896,0.7943388938903808
A897,0.5705678105354309
A898,0.7826295018196106
A899,0.6165959954261779
A900,0.4401264248881489
A901,0.6028076604008674
A902,0.6514247477054596
A903,0.6365281283855438
A904,0.7961550951004028
A905,0.7358938574790954
A906,0.7577011227607727
A907,0.7662365317344666
A908,0.7928888678550721
A909,0.7124424695968627
A910,0.7956636548042297
A911,0.7990975141525268
A912,0.6795530140399932
A913,0.7979095220565796
A914,0.6878657341003418
A915,0.545806392468512
A916,0.5949438214302063
A917,0.7964665055274963
A918,0.798011839389801
A919,0.7991662979125976
A920,0.7986760377883911
A921,0.79617760181427
A922,0.7914364695549011
A923,0.7763579607009887
A924,0.7907313346862793
A925,0.688674396276474
A926,0.7167440772056579
A927,0.7717386960983277
A928,0.7795282006263733
A929,0.7968639612197876
A930,0.7967803359031678
A931,0.7979338765144348
A932,0.7990990877151489
A933,0.7723663091659546
A934,0.7991397261619568
A935,0.7996307611465454
A936,0.799712312221527
A937,0.7986594557762146
A938,0.7918064594268799
A939,0.7988944292068482
A940,0.7891457915306092
A941,0.7935253381729126
A942,0.7729000210762024
A943,0.6786449253559113
A944,0.6789177000522614
A945,0.649757981300354
A946,0.7289884567260743
A947,0.79320307970047
A948,0.795755922794342
A949,0.5364153921604157
A950,0.7990034580230713
A951,0.7976749062538147
A952,0.799487853050232
A953,0.7987885713577271
A954,0.7993301749229431
A955,0.7993034839630127
A956,0.7887688994407653
A957,0.7997735500335693
A958,0.7919372320175171
A959,0.7960671782493591
A960,0.7896265387535095
A961,0.7936644315719604
A962,0.7975905299186706
A963,0.6376485317945481
A964,0.7351698398590087
A965,0.7471014738082886
A966,0.7982301592826844
